V	DZ1	C1	Fn1	DZ2	C2	Fn2
-1.98242	0.2629	-4.4796E-11	9.47054E-11	0.7629	-1.58281E-11	3.29279E-11
-1.98225	0.2629	-4.48194E-11	9.4871E-11	0.7629	-1.58307E-11	3.2953E-11
-1.98208	0.2622	-4.48299E-11	9.49493E-11	0.7622	-1.58334E-11	3.29782E-11
-1.98192	0.2622	-4.48534E-11	9.51152E-11	0.7622	-1.5836E-11	3.30034E-11
-1.98175	0.2615	-4.48638E-11	9.51941E-11	0.7615	-1.58387E-11	3.30286E-11
-1.98158	0.2615	-4.48874E-11	9.53598E-11	0.7615	-1.58414E-11	3.30538E-11
-1.98142	0.2608	-4.48977E-11	9.54393E-11	0.7608	-1.5844E-11	3.30791E-11
-1.98125	0.2608	-4.49214E-11	9.56052E-11	0.7608	-1.58467E-11	3.31044E-11
-1.98108	0.2601	-4.49315E-11	9.56854E-11	0.7601	-1.58494E-11	3.31298E-11
-1.98092	0.2601	-4.49553E-11	9.58515E-11	0.7601	-1.58521E-11	3.31551E-11
-1.98075	0.2594	-4.49653E-11	9.59318E-11	0.7594	-1.58547E-11	3.31805E-11
-1.98058	0.2594	-4.49892E-11	9.60981E-11	0.7594	-1.58574E-11	3.32058E-11
-1.98042	0.2587	-4.49991E-11	9.61786E-11	0.7587	-1.58601E-11	3.32312E-11
-1.98025	0.2587	-4.5023E-11	9.63452E-11	0.7587	-1.58628E-11	3.32566E-11
-1.98008	0.258	-4.50327E-11	9.6426E-11	0.758	-1.58654E-11	3.32821E-11
-1.97992	0.258	-4.50568E-11	9.65923E-11	0.758	-1.58681E-11	3.33075E-11
-1.97975	0.2573	-4.50663E-11	9.66735E-11	0.7573	-1.58708E-11	3.3333E-11
-1.97958	0.2573	-4.50904E-11	9.68395E-11	0.7573	-1.58735E-11	3.33585E-11
-1.97942	0.2566	-4.50997E-11	9.6921E-11	0.7566	-1.58761E-11	3.33841E-11
-1.97925	0.2566	-4.51239E-11	9.70868E-11	0.7566	-1.58788E-11	3.34096E-11
